Name,Code,Type,DrainageArea,SubBasin,City,State,Responsible,Latitude,Longitude,StartDate,EndDate,NYD,MD,N_YWOMD,YWMD
BORJA,10064000,1,115000,10,PERU,PERU,SENAMHI-PERU,-4.47,-77.55,1986/02/02,2013/03/15,28,27.6,17,39.3
SAN REGIS,10070500,1,316000,10,PERU,PERU,SENAMHI-PERU,-4.51,-73.95,1994/05/16,2005/10/17,12,0.1,10,16.7
REQUENA,10074800,1,4738,10,PERU,PERU,SENAMHI-PERU,-5.03,-73.83,1984/10/25,2005/10/17,22,8.6,15,31.8
TAMISHIYACU,10075000,1,8985,10,PERU,PERU,SENAMHI-PERU,-4.0036,-73.1611,1983/10/02,2010/09/13,28,5.0,23,17.9
FRANCISCO DE ORELLAN,10080900,1,,10,PERU,PERU,SENAMHI-PERU,-0.4731,-76.9825,2001/01/02,2005/10/29,5,0.1,3,40.0
NUEVO ROCAFUERTE,10082800,1,,10,PERU,PERU,SENAMHI-PERU,-0.9167,-75.3964,2001/01/06,2005/04/15,5,0.0,3,40.0
BELLAVISTA,10086800,1,3323,10,PERU,PERU,SENAMHI-PERU,-3.48,-73.08,1989/01/02,2004/06/15,16,0.4,14,12.5
TABATINGA,10100000,1,874000,10,TABATINGA,AMAZONAS,ANA,-4.2347,-69.9447,1995/01/01,2017/04/30,23,3.0,17,26.1
PALMEIRAS DO JAVARI,10200000,1,16500,10,ATALAIA DO NORTE,AMAZONAS,ANA,-5.1389,-72.8136,1982/11/22,2020/01/31,39,5.2,25,35.9
SANTA MARIA/FLORES,10300000,1,25200,10,ATALAIA DO NORTE,AMAZONAS,ANA,-4.5397,-71.4003,1980/09/24,2020/01/31,41,37.2,9,78.0
ESTIRÃO DO REPOUSO,10500000,1,61400,10,ATALAIA DO NORTE,AMAZONAS,ANA,-4.3408,-70.9056,1980/09/22,2020/01/31,41,2.8,31,24.4
