Name,Code,Type,SubBasin,City,State,Responsible,Latitude,Longitude,StartDate,EndDate,NYD,MD,N_YWOMD,YWMD
SALINÓPOLIS,00047000,2,32,SALINÓPOLIS,PARÁ,INMET,-0.65,-47.55,1958/01/01,1964/12/31,7,25.0,0,100.0
SALINÓPOLIS,00047002,2,32,SALINÓPOLIS,PARÁ,ANA,-0.6231,-47.3536,1977/12/09,2019/08/31,43,3.5,35,18.6
CURUÇA,00047003,2,32,CURUÇA,PARÁ,ANA,-0.7375,-47.8536,1981/07/01,2019/07/31,39,2.4,29,25.6
PRIMAVERA,00047004,2,32,PRIMAVERA,PARÁ,ANA,-0.9294,-47.0994,1982/02/18,2019/08/31,38,0.0,35,7.9
MARUDA,00047005,2,32,MARAPANIM,PARÁ,ANA,-0.6336,-47.6583,1989/08/21,2019/07/31,31,5.0,20,35.5
SÃO JOÃO DE PIRABAS,00047006,2,32,SÃO JOÃO DE PIRABAS,PARÁ,ANA,-0.7747,-47.1775,1989/08/30,2019/08/31,31,0.4,25,19.4
MAGALHÃES BARATA,00047007,2,31,MAGALHÃES BARATA,PARÁ,ANA,-0.7944,-47.5997,1995/11/17,2019/08/31,25,1.4,20,20.0
SOURE (ILHA DE MARAJÓ),00048000,2,19,SOURE,PARÁ,INMET,-0.7278,-48.5158,1961/01/01,1998/12/31,38,3.2,26,31.6
CÂMARA,00048002,2,19,CACHOEIRA DO ARARI,PARÁ,IDESP,-0.9,-48.6333,1971/09/21,1982/12/31,12,0.0,9,25.0
FAZENDA TAPERA (MARAJÓ),00048003,2,19,SOURE,PARÁ,IDESP,-0.55,-48.7833,1971/01/01,1982/12/31,12,9.6,8,33.3
FAZENDA LIVRAMENTO,00048004,2,19,SOURE,PARÁ,IDESP,-0.3333,-48.5167,1974/05/01,1982/12/31,9,0.0,8,11.1
MANDUBE,00048005,2,19,CHAVES,PARÁ,IDESP,-0.2,-48.9167,1977/06/01,1982/05/31,6,11.9,0,100.0
VIGIA,00048006,2,31,VIGIA,PARÁ,ANA,-0.8681,-48.1103,1982/02/11,2019/07/31,38,0.4,32,15.8
ANAJÁS (ILHA DO MARAJÓ),00049000,2,19,ANAJÁS,PARÁ,IDESP,-0.9833,-49.95,1968/07/17,1981/07/31,14,23.6,4,71.4
SANTA CRUZ DO ARARI (I. MARAJÓ),00049001,2,19,SANTA CRUZ DO ARARI,PARÁ,IDESP,-0.6167,-49.1667,1968/05/30,2003/12/31,36,61.4,10,72.2
TUYUYU,00049002,2,19,CACHOEIRA DO ARARI,PARÁ,IDESP,-0.8167,-49.15,1972/04/21,1981/08/31,10,17.8,4,60.0
FAZENDA SÃO SEBASTIÃO,00049003,2,19,PONTA DE PEDRAS,PARÁ,IDESP,-0.8333,-49.7667,1973/02/13,1982/11/30,10,0.2,6,40.0
ARAPIXI,00049004,2,19,CHAVES,PARÁ,IDESP,-0.2167,-49.4667,1972/05/01,1982/12/31,11,10.1,8,27.3
FAZENDA CAJUEIRO (MARAJÓ),00049006,2,19,CHAVES,PARÁ,IDESP,-0.25,-49.2667,1974/01/24,1982/12/31,9,13.1,2,77.8
SANTA LUZIA,00049007,2,19,CHAVES,PARÁ,IDESP,-0.4,-49.9,1977/06/03,1981/12/31,5,0.8,2,60.0
FAZENDA GLÓRIA,00049008,2,19,SANTA CRUZ DO ARARI,PARÁ,IDESP,-0.5333,-49.4,1978/04/02,1982/02/28,5,4.3,2,60.0
ANAJÁS,00049009,2,19,ANAJÁS,PARÁ,ANA,-0.9853,-49.9394,1999/09/02,2019/09/30,21,2.1,15,28.6
CHAVES,00049010,2,19,CHAVES,PARÁ,ANA,-0.1656,-49.9786,1999/09/02,2019/09/30,21,0.9,16,23.8
SANTA CRUZ DO ARARI,00049011,2,19,SANTA CRUZ DO ARARI,PARÁ,ANA,-1.0158,-48.9597,1999/09/02,2019/09/30,21,0.7,15,28.6
